epoch;acc;loss;val_acc;val_loss
0;0.60415;0.6484257246494293;0.705560064935065;0.5628998519538285
1;0.70675;0.5681073030471802;0.7205613179737314;0.5816461246673572
2;0.75155;0.511525552535057;0.7866585316249746;0.4579474498961596
3;0.7875;0.4561496010541916;0.8049623754564184;0.4179892761571053
4;0.817;0.401812437582016;0.8368924141342329;0.3763098744010693
5;0.8391;0.3646690439939499;0.8558063860319726;0.3417949198537031
6;0.85675;0.33518306666612624;0.8735001017243876;0.30499109803405944
7;0.8709;0.3038508854150772;0.8791946308846054;0.2828709396442941
8;0.88775;0.2755467722415924;0.8926174496765517;0.2614015737926909
9;0.8925;0.25522497583031656;0.9025828757614824;0.24990500157287215
10;0.9048;0.23674356153309345;0.9086841570426711;0.224279838714363
11;0.90915;0.22136228268146516;0.9145820623058019;0.21048711371513942
12;0.9147;0.21573821493461728;0.9223103518526753;0.21557885616751057
13;0.9212;0.19985499105751514;0.9170225747649399;0.19885796773402167
14;0.92505;0.1895533869922161;0.9131584299733199;0.22340694511411927
15;0.92955;0.1821665125861764;0.908277404982311;0.21277671368693782
16;0.9319;0.17552050245404244;0.9204799674719554;0.1929844167172145
17;0.93145;0.17672043728381395;0.9188529591456598;0.217868020844782
18;0.93495;0.16694866564571859;0.8964815944802939;0.2944263946738504
19;0.9346;0.16783173247948288;0.9418344519136882;0.16512264099781992
